date	total	AS_qtty	HS_qtty	JS_qtty	LS_qtty	NS_qtty	PS_qtty	WS_qtty
2016-10	370487	0	37667	1532	115929	188816	0	24047
2016-11	465375	0	49238	0	160353	219034	0	32387
2016-12	571955	0	63583	0	211729	241889	0	47102
2017-01	556837	0	59030	0	178868	269703	0	45187
2017-02	476026	0	70163	0	147457	218729	0	37186
2017-03	482003	0	55484	0	151065	233280	0	38872
2017-04	464668	0	51860	0	144750	229241	0	36514
2017-05	429280	0	42536	0	136404	212723	0	34958
2017-06	369283	0	38148	0	114504	188605	0	26014
2017-07	357558	0	30524	739	105993	192323	0	25955
2017-08	376236	0	34562	841	120254	193191	0	23789
2017-09	387488	0	32163	0	115536	209800	0	28010
2017-10	423876	0	36734	0	130812	225916	0	28453
2017-11	414055	0	37582	0	125072	217443	0	31963
2017-12	435342	0	48429	0	140811	210799	0	32331
2018-01	483781	0	47399	0	156954	238930	0	36921
2018-02	409913	0	40881	0	131868	194156	0	40534
2018-03	480662	0	77429	0	135511	217684	0	47519
2018-04	415050	0	42694	0	130507	202318	0	36300
2018-05	405391	294	46841	0	118485	199436	0	37014
2018-06	412471	4254	57353	0	142828	173936	0	30519
2018-07	380556	2082	36315	474	118135	182202	0	36069
2018-08	389451	3917	40062	660	118660	188479	0	34794
2018-09	342208	1854	35772	0	98836	169777	0	33017
2018-10	374895	1574	40191	0	104114	194000	0	31545
2018-11	378034	7094	36625	0	107363	190774	0	33421
2018-12	385541	4037	38241	0	112431	191096	0	36783
2019-01	410105	2647	43313	0	118326	207153	0	36018
2019-02	363726	2069	64162	0	96400	165898	0	33454
2019-03	395635	2938	35822	0	104926	205440	0	42927
2019-04	377948	2318	35450	0	105655	192810	0	39958
2019-05	384463	2235	33102	0	104913	203014	0	38616
2019-06	364264	1747	30110	0	94338	178501	0	57464
2019-07	385513	1909	35238	0	101581	197728	0	47158
2019-08	366257	2463	36495	0	99956	180172	0	44894
2019-09	300805	2074	24910	0	78843	141609	0	51574
2019-10	283935	2327	31051	0	81619	132612	0	34560
2019-11	333416	3105	36174	0	95164	143883	0	53403
2020-01	378275	3154	43846	0	98094	186445	0	43354
2020-02	351956	2835	41812	0	91713	172543	0	40615
2020-03	639268	2634	127030	2	133173	295990	0	76305
2020-04	616942	4708	108509	0	150203	288051	0	61031
2020-05	484638	6931	49478	0	130978	229604	0	59213
2020-06	462603	3870	59368	0	129690	210046	0	45120
2020-07	477925	62385	36796	0	93243	228036	0	48447
2020-08	473744	46056	38871	2	95867	217341	0	46262
2020-09	441295	41417	34782	0	87905	197154	0	44871
2020-10	476401	11163	45773	0	95055	262493	3821	48089
2020-11	448369	14451	42501	0	100483	239884	4144	46906
2020-12	422721	26632	39957	0	104689	208983	2669	39791
2021-02	428614	20417	40329	14	103677	212865	3786	47526
2021-03	486682	19281	47416	2	126854	240642	5517	46970
2021-04	405298	11420	43046	0	103909	196912	4823	45188
2021-05	409835	13205	37132	0	99979	211270	7450	40799
2021-06	349388	5647	29615	0	94618	170517	14798	34193
2021-07	358271	21172	35668	0	81076	183418	4366	32571
2021-08	422779	24981	41166	0	98118	215695	6074	36745
2021-09	386971	30535	35818	0	92353	184018	7217	37030
2021-10	390312	16065	35927	0	97013	184678	12680	43949
2021-11	392982	22596	33440	960	93068	186186	19866	36866
2021-12	381288	12154	34534	0	107899	176787	15490	34424
2022-01	435097	22630	29549	0	111151	214393	15364	41992
2022-02	373285	36741	29304	0	86029	159763	20738	40707
2022-03	364972	23069	32445	0	92937	161955	14059	40507
2022-04	370292	24761	29609	0	92705	168003	17033	38181
2022-05	352289	7439	28356	64	85336	167764	21058	42272
2022-06	355710	20434	24066	2	83291	164696	21328	41893
2022-07	363310	11219	40871	0	90245	159415	18800	42760
2022-08	360136	36732	36048	0	86809	142793	21421	36333
2022-09	335877	19462	36646	0	80699	136359	22472	40239
2022-10	346359	11113	40349	0	97946	141717	20662	34572
2022-11	424467	17201	38036	752	160095	152756	17233	38394
2022-12	415796	17264	45632	0	146176	157854	9944	38926
