date	total	NPC_pct	ATKNPC_pct	DEFNPC_pct	ATKDEFNPC_pct
2016-10	370487	0.00	0	0.00	0
2016-11	465375	0.00	0	0.00	0
2016-12	571955	0.00	0	0.00	0
2017-01	556837	0.00	0	0.00	0
2017-02	476026	0	0	0	0
2017-03	482003	0.00	0	0.00	0
2017-04	464668	0.00	0	0.00	0
2017-05	429280	0.00	0	0.00	0
2017-06	369283	0.00	0	0.00	0
2017-07	357558	0.00	0	0.00	0
2017-08	376236	0.00	0	0.00	0
2017-09	387488	0.00	0	0.00	0
2017-10	423876	0.00	0	0.00	0
2017-11	414055	0.36	0.30	0.06	0
2017-12	435342	0.44	0.39	0.05	0
2018-01	483781	0.34	0.33	0.02	0
2018-02	409913	0.41	0.37	0.04	0
2018-03	480662	0.49	0.42	0.07	0
2018-04	415050	0.46	0.38	0.08	0
2018-05	405391	0.98	0.92	0.06	0
2018-06	412471	1.37	1.32	0.04	0
2018-07	380556	0.88	0.82	0.06	0
2018-08	389451	1.37	1.31	0.06	0
2018-09	342208	0.95	0.88	0.07	0
2018-10	374895	0.87	0.79	0.08	0
2018-11	378034	1.27	1.18	0.10	0
2018-12	385541	0.97	0.90	0.08	0
2019-01	410105	0.74	0.63	0.11	0
2019-02	363726	0.96	0.84	0.11	0
2019-03	395635	0.89	0.78	0.11	0
2019-04	377948	0.86	0.70	0.16	0
2019-05	384463	0.98	0.85	0.13	0
2019-06	364264	1.45	1.30	0.15	0
2019-07	385513	2.19	2.07	0.12	0
2019-08	366257	1.27	1.15	0.11	0
2019-09	300805	1.17	1.02	0.15	0
2019-10	283935	1.37	1.24	0.13	0
2019-11	333416	1.32	1.19	0.13	0
2020-01	378275	1.39	1.22	0.17	0
2020-02	351956	1.52	1.39	0.13	0
2020-03	639268	0.80	0.68	0.12	0
2020-04	616942	1.11	1.02	0.09	0
2020-05	484638	1.78	1.64	0.14	0
2020-06	462603	1.21	1.06	0.15	0
2020-07	477925	1.06	0.88	0.19	0
2020-08	473744	1.11	0.94	0.17	0
2020-09	441295	1.09	0.94	0.15	0
2020-10	476401	1.05	0.87	0.18	0
2020-11	448369	1.10	0.90	0.21	0
2020-12	422721	1.16	0.93	0.23	0
2021-02	428614	1.39	1.14	0.26	0
2021-03	486682	1.40	1.18	0.22	0
2021-04	405298	1.60	1.27	0.33	0
2021-05	409835	1.46	1.13	0.33	0
2021-06	349388	1.56	1.19	0.38	0
2021-07	358271	1.31	0.89	0.42	0
2021-08	422779	1.54	1.15	0.38	0
2021-09	386971	1.55	1.17	0.37	0
2021-10	390312	1.85	1.47	0.38	0
2021-11	392982	1.62	1.30	0.32	0
2021-12	381288	1.67	1.37	0.31	0
2022-01	435097	1.64	1.29	0.35	0
2022-02	373285	1.56	1.21	0.34	0
2022-03	364972	1.69	1.33	0.37	0
2022-04	370292	1.67	1.28	0.39	0
2022-05	352289	1.94	1.43	0.52	0
2022-06	355710	1.82	1.35	0.47	0
2022-07	363310	1.69	1.30	0.39	0
2022-08	360136	1.65	1.29	0.36	0
2022-09	335877	1.75	1.27	0.48	0
2022-10	346359	1.62	1.21	0.42	0
2022-11	424467	1.34	0.98	0.36	0
2022-12	415796	1.30	0.87	0.43	0
2023-01	425629	1.40	0.99	0.40	0
2023-02	400617	1.51	1.12	0.39	0
